smiles,pIC50
c1ccc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccncc5)nc43)CC2)cc1,5.136677139879540
c1ccc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5cnc6ccccc6c5)nc43)CC2)cc1,6.920818753952380
c1ccc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccc6ncccc6c5)nc43)CC2)cc1,5.22548303427145
O=c1[nH]c2ccc(-c3nc(N4CCOCC4)c4cnn(C5CCN(Cc6ccccc6)CC5)c4n3)cc2[nH]1,6.721246399047170
c1ccc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5cc6ccccc6[nH]5)nc43)CC2)cc1,6.886056647693160
c1ccc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5cccc6[nH]ccc56)nc43)CC2)cc1,6.838631997765030
c1ccc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccc6[nH]ccc6c5)nc43)CC2)cc1,7.055517327849830
c1ccc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccc6cc[nH]c6c5)nc43)CC2)cc1,6.638272163982410
c1ccc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5cccc6cc[nH]c56)nc43)CC2)cc1,6.42021640338319
Cn1ccc2cccc(-c3nc(N4CCOCC4)c4cnn(C5CCN(Cc6ccccc6)CC5)c4n3)c21,6.2403321553103700
c1cc2cc(-c3nc(N4CCOCC4)c4cnn(C5CCNCC5)c4n3)ccc2[nH]1,6.769551078621730
c1cncc(CN2CCC(n3ncc4c(N5CCOCC5)nc(-c5ccc6[nH]ccc6c5)nc43)CC2)c1,8.045757490560680
O=C(c1cccnc1)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc5[nH]ccc5c4)nc32)CC1,8.397940008672040
CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.657577319177790
COC(=O)N1CCC(n2ncc3c(N4CCOCC4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,9.698970004336020
COC(=O)N1CCC(n2ncc3c(N4CC5CCC(C4)O5)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,9.958607314841780
CNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,9.318758762624410
O=C(NCCF)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(CC(F)(F)F)c3n2)cc1,9.638272163982410
O=C(Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(CC(F)(F)F)c3n2)cc1)Nc1cccnc1,9.721246399047170
CCNC(=O)Nc1ccc(-c2nc(N3CC4CCC(C3)O4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.698970004336020
COC(=O)N1CCC(n2ncc3c(N4C5CCC4COC5)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,9.795880017344080
CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@H]3C)c3cnn(C4CCN(C(=O)OCC)CC4)c3n2)cc1,9.060480747381380
O=C(Nc1ccc(-c2nc(N3CCOCC3)c3cnn(CC(F)(F)F)c3n2)cc1)Nc1cccnc1,9.638272163982410
O=C(Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(CC(F)(F)F)c3n2)cc1)Nc1cccnc1,9.698970004336020
CNC(=O)Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(CC(F)(F)F)c3n2)cc1,9.2518119729938
CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(Cc5cccnc5)CC4)c3n2)cc1,9.42021640338319
CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OCC)CC4)c3n2)cc1,9.769551078621730
CNC(=O)Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.657577319177790
CCNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.494850021680090
COC(=O)N1CCC(n2ncc3c(N4CCOC(C)C4)nc(-c4ccc(NC(=O)Nc5cccnc5)cc4)nc32)CC1,9.207608310501750
CCOC(=O)N1CCC(n2ncc3c(N4CCOC[C@H]4C)nc(-c4ccc(NC(=O)Nc5ccncc5)cc4)nc32)CC1,9.55284196865778
O=C(NCCF)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(CC(F)(F)F)c3n2)cc1,9.221848749616360
CNC(=O)Nc1ccc(-c2nc(N3CCOCC3)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.337242168318430
CCNC(=O)Nc1ccc(-c2nc(N3C4CCC3COC4)c3cnn(C4CCN(C(=O)OC)CC4)c3n2)cc1,9.207608310501750
CCNC(=O)Nc1ccc(-c2nc(N3CCOC[C@@H]3C)c3cnn(C4CCN(C(=O)OCC)CC4)c3n2)cc1,8.744727494896690
